# GalaxyName, RA[h m s], Dec[deg ' ''], (m-M)o, (m-M)err+, (m-M)err-, Vmag, Vmag_err+, Vmag_err-, D_m31_savino_kpc, D_m31_savino_err+, D_m31_savino_err+
*CanisMajor          7.00   12.00   35.00  -27.00   40.00    0.00   14.29    0.30    0.30   -0.10    0.80    0.80   -1.00   -1.00   -1.00
SagittariusdSph     18.00   55.00   19.50  -30.00   32.00   43.00   17.10    0.15    0.15    3.60    0.30    0.30   -1.00   -1.00   -1.00
*Hydra1              8.00   55.00   36.00    3.00   36.00    0.00   15.52    0.05    0.05   13.02    0.30    0.30   -1.00   -1.00   -1.00
*Tucana3            23.00   56.00   36.00  -59.00   36.00    0.00   17.01    0.16    0.16   14.60    0.40    0.40   -1.00   -1.00   -1.00
Hydrus1              2.00   29.00   33.40  -79.00   18.00   32.00   17.20    0.04    0.04   12.49    0.08    0.08   -1.00   -1.00   -1.00
*Draco2             15.00   52.00   47.60   64.00   33.00   55.00   16.90    0.30    0.30   14.00    0.80    0.80   -1.00   -1.00   -1.00
Segue(1)            10.00    7.00    4.00   16.00    4.00   55.00   16.80    0.20    0.20   15.50    0.73    0.73   -1.00   -1.00   -1.00
Carina3              7.00   38.00   31.20  -57.00   53.00   59.00   17.22    0.10    0.10   14.82    0.20    0.20   -1.00   -1.00   -1.00
*Reticulum2          3.00   35.00   42.10  -54.00    2.00   57.00   17.40    0.20    0.20   13.52    0.38    0.38   -1.00   -1.00   -1.00
*Cetus2              1.00   17.00   52.80  -17.00   25.00   12.00   17.38    0.19    0.19   17.40    0.70    0.70   -1.00   -1.00   -1.00
*Triangulum2         2.00   13.00   17.40   36.00   10.00   42.00   17.40    0.10    0.10   15.60    0.50    0.50   -1.00   -1.00   -1.00
Carina2              7.00   36.00   25.60  -57.00   59.00   57.00   17.79    0.05    0.05   13.29    0.10    0.10   -1.00   -1.00   -1.00
UrsaMajor2           8.00   51.00   30.00   63.00    7.00   48.00   17.50    0.30    0.30   13.25    0.26    0.26   -1.00   -1.00   -1.00
Bootes2             13.00   58.00    0.00   12.00   51.00    0.00   18.10    0.06    0.06   15.16    0.74    0.74   -1.00   -1.00   -1.00
Segue2               2.00   19.00   16.00   20.00   10.00   31.00   17.70    0.10    0.10   15.84    0.88    0.88   -1.00   -1.00   -1.00
Willman1            10.00   49.00   21.00   51.00    3.00    0.00   17.90    0.40    0.40   15.37    0.74    0.74   -1.00   -1.00   -1.00
ComaBerenices       12.00   26.00   59.00   23.00   54.00   15.00   18.20    0.20    0.20   13.82    0.25    0.25   -1.00   -1.00   -1.00
*Tucana4             0.00    2.00   55.20  -60.00   51.00    0.00   18.41    0.19    0.19   14.90    0.30    0.30   -1.00   -1.00   -1.00
*Bootes3            13.00   57.00   12.00   26.00   48.00    0.00   18.35    0.10    0.10   12.60    0.50    0.50   -1.00   -1.00   -1.00
Pictor2              6.00   44.00   43.20  -59.00   53.00   49.00   18.30    0.12    0.15   15.10    0.40    0.50   -1.00   -1.00   -1.00
*Grus2              22.00    4.00    4.80  -46.00   26.00   24.00   18.62    0.21    0.21   14.70    0.20    0.20   -1.00   -1.00   -1.00
LMC                  5.00   23.00   34.50  -69.00   45.00   22.00   18.52    0.09    0.09    0.40    0.10    0.10   -1.00   -1.00   -1.00
*Tucana5            23.00   37.00   24.00  -63.00   16.00   12.00   18.71    0.34    0.34   17.10    0.50    0.50   -1.00   -1.00   -1.00
Tucana2             22.00   51.00   55.10  -58.00   34.00    8.00   18.80    0.20    0.20   15.00    0.10    0.10   -1.00   -1.00   -1.00
*Sagittarius2       19.00   52.00   40.50  -22.00    4.00    5.00   19.13    0.15    0.15   13.90    0.40    0.40   -1.00   -1.00   -1.00
SMC                  0.00   52.00   44.80  -72.00   49.00   43.00   19.03    0.12    0.12    2.20    0.20    0.20   -1.00   -1.00   -1.00
Bootes(1)           14.00    0.00    6.00   14.00   30.00    0.00   19.11    0.08    0.08   13.09    0.25    0.25   -1.00   -1.00   -1.00
Draco               17.00   20.00   12.40   57.00   54.00   55.00   19.40    0.17    0.17   10.69    0.05    0.05   -1.00   -1.00   -1.00
UrsaMinor           15.00    9.00    8.50   67.00   13.00   21.00   19.40    0.10    0.10   10.37    0.05    0.05   -1.00   -1.00   -1.00
*Horologium2         3.00   16.00   32.10  -50.00    1.00    5.00   19.46    0.20    0.20   17.90    1.02    1.02   -1.00   -1.00   -1.00
*Horologium1         2.00   55.00   31.70  -54.00    7.00    8.00   19.50    0.20    0.20   15.95    0.56    0.56   -1.00   -1.00   -1.00
*Phoenix2           23.00   39.00   59.40  -54.00   24.00   22.00   19.60    0.20    0.20   16.30    0.63    0.63   -1.00   -1.00   -1.00
Sculptor             1.00    0.00    9.40  -33.00   42.00   33.00   19.67    0.14    0.14    8.85    0.14    0.14   -1.00   -1.00   -1.00
*Eridanus3           2.00   22.00   45.50  -52.00   17.00    1.00   19.70    0.20    0.20   17.33    0.86    0.86   -1.00   -1.00   -1.00
Sextans(1)          10.00   13.00    3.00   -1.00   36.00   53.00   19.67    0.10    0.10   10.40    0.50    0.50   -1.00   -1.00   -1.00
Virgo1              12.00    0.00    9.10    0.00   40.00   51.60   19.80    0.20    0.10   19.47    0.75    0.87   -1.00   -1.00   -1.00
*Reticulum3          3.00   45.00   26.40  -60.00   27.00    0.00   19.81    0.31    0.31   16.50    0.30    0.30   -1.00   -1.00   -1.00
*Indus1             21.00    8.00   49.10  -51.00    9.00   56.00   20.00    0.20    0.20   16.68    0.62    0.62   -1.00   -1.00   -1.00
UrsaMajor(1)        10.00   34.00   52.80   51.00   55.00   12.00   19.93    0.10    0.10   14.81    0.38    0.38   -1.00   -1.00   -1.00
Aquarius2           22.00   33.00   55.50   -9.00   19.00   39.00   20.16    0.07    0.07   15.80    0.14    0.14   -1.00   -1.00   -1.00
Carina               6.00   41.00   36.70  -50.00   57.00   58.00   20.11    0.13    0.13   10.68    0.05    0.05   -1.00   -1.00   -1.00
*Grus1              22.00   56.00   42.40  -50.00    9.00   48.00   20.40    0.20    0.20   16.93    0.59    0.59   -1.00   -1.00   -1.00
Crater2             11.00   49.00   14.40  -18.00   24.00   47.00   20.35    0.02    0.02   12.15    0.10    0.10   -1.00   -1.00   -1.00
*Pictoris1           4.00   43.00   47.40  -50.00   16.00   59.00   20.30    0.20    0.20   16.85    0.60    0.60   -1.00   -1.00   -1.00
Hercules            16.00   31.00    2.00   12.00   47.00   30.00   20.60    0.20    0.20   14.77    0.17    0.17   -1.00   -1.00   -1.00
Hydra2              12.00   21.00   42.10  -31.00   59.00    7.00   20.64    0.16    0.16   16.04    0.37    0.37   -1.00   -1.00   -1.00
Antlia2              9.00   35.00   32.80  -36.00   46.00    2.00   20.60    0.11    0.11   11.57    0.15    0.15   -1.00   -1.00   -1.00
Fornax               2.00   39.00   59.30  -34.00   26.00   57.00   20.84    0.18    0.18    7.38    0.14    0.14   -1.00   -1.00   -1.00
Leo4                11.00   32.00   57.00    0.00   32.00    0.00   20.94    0.09    0.09   15.95    0.26    0.26   -1.00   -1.00   -1.00
CanesVenatici2      12.00   57.00   10.00   34.00   19.00   15.00   21.02    0.06    0.06   15.85    0.32    0.32   -1.00   -1.00   -1.00
Leo5                11.00   31.00    9.60    2.00   13.00   12.00   21.25    0.12    0.12   16.85    0.36    0.36   -1.00   -1.00   -1.00
Pisces2             22.00   58.00   31.00    5.00   57.00    9.00   21.30  999.00  999.00   17.08    0.38    0.38   -1.00   -1.00   -1.00
*Columba1            5.00   31.00   26.40  -28.00    1.00   48.00   21.30    0.22    0.22   16.80    0.20    0.20   -1.00   -1.00   -1.00
*Pegasus3           22.00   24.00   22.60    5.00   25.00   12.00   21.56    0.20    0.20   17.50    0.50    0.50   -1.00   -1.00   -1.00
*Indus2             20.00   38.00   52.80  -46.00    9.00   36.00   21.65    0.16    0.16   17.40    0.20    0.20   -1.00   -1.00   -1.00
Bootes4             15.00   34.00   45.40   43.00   43.00   34.00   21.60    0.20    0.20   17.07    0.23    0.21   -1.00   -1.00   -1.00
CanesVenatici(1)    13.00   28.00    3.50   33.00   33.00   21.00   21.69    0.10    0.10   13.10    0.20    0.20   -1.00   -1.00   -1.00
Leo2                11.00   13.00   28.80   22.00    9.00    6.00   21.84    0.13    0.13   12.10    0.04    0.04   -1.00   -1.00   -1.00
Cetus3               2.00    5.00   19.40   -4.00   16.00   12.00   22.00    0.20    0.10   19.55    0.57    0.56   -1.00   -1.00   -1.00
Leo1                10.00    8.00   28.10   12.00   18.00   23.00   22.02    0.13    0.13   10.24    0.28    0.28   -1.00   -1.00   -1.00
M32                  0.00   42.00   41.80   40.00   51.00   55.00   24.53    0.21    0.21    8.10    0.10    0.10   20.60   21.00  -13.00
AndromedaIX          0.00   52.00   53.00   43.00   11.00   45.00   24.42    0.07    0.07   16.30    1.10    1.10   82.00   26.00  -24.00
NGC205               0.00   40.00   22.10   41.00   41.00    7.00   24.58    0.07    0.07    8.10    0.10    0.10   58.00   30.00  -29.00
AndromedaI           0.00   45.00   39.80   38.00    2.00   28.00   24.36    0.07    0.07   12.50    0.10    0.10   48.00   10.00   -3.20
AndromedaXVII        0.00   37.00    7.00   44.00   19.00   20.00   24.31    0.11    0.08   15.80    0.40    0.40   49.90   17.00   -5.80
AndromedaXXVII       0.00   37.00   27.10   45.00   23.00   13.00   24.59    0.12    0.12   16.70    0.50    0.50   -1.00   -1.00   -1.00
AndromedaIII         0.00   35.00   33.80   36.00   29.00   52.00   24.37    0.07    0.07   14.20    0.30    0.30   84.90   19.00  -14.00
AndromedaXXV         0.00   30.00    8.90   46.00   51.00    7.00   24.55    0.12    0.12   14.80    0.50    0.50   85.20   12.00   -4.40
AndromedaXXVI        0.00   23.00   45.60   47.00   54.00   58.00   24.41    0.12    0.12   17.30    0.50    0.50  104.60    6.80   -3.50
AndromedaV           1.00   10.00   17.10   47.00   37.00   41.00   24.44    0.08    0.08   14.90    0.20    0.20  110.50    7.00   -3.50
AndromedaXI          0.00   46.00   20.00   33.00   48.00    5.00   24.33    0.05    0.05   17.50    1.20    1.20  104.20   11.00   -4.20
AndromedaXIX         0.00   19.00   32.10   35.00    2.00   37.00   24.57    0.08    0.43   15.60    0.60    0.60  113.30   18.00   -6.90
AndromedaXXIII       1.00   29.00   21.80   38.00   43.00    8.00   24.43    0.13    0.13   14.20    0.50    0.50  128.10   10.00   -4.90
AndromedaXX          0.00    7.00   30.70   35.00    7.00   56.00   24.35    0.12    0.16   18.20    0.80    0.80  128.40   12.00   -5.50
AndromedaXIII        0.00   51.00   51.00   33.00    0.00   16.00   24.62    0.05    0.05   18.10    1.20    1.20  126.40   16.00   -8.00
AndromedaX           1.00    6.00   33.70   44.00   48.00   16.00   24.13    0.08    0.13   16.60    1.00    1.00  162.20   25.00  -24.00
AndromedaXXI        23.00   54.00   47.70   42.00   28.00   15.00   24.59    0.06    0.07   14.80    0.60    0.60  124.40    5.10   -3.80
AndromedaXXXII       0.00   35.00   59.40   51.00   33.00   35.00   24.45    0.14    0.14   12.20    0.70    0.70  146.80    7.80   -4.20
NGC147               0.00   33.00   12.10   48.00   30.00   32.00   24.15    0.09    0.09    9.50    0.10    0.10  107.00   15.00   -8.00
AndromedaXXX         0.00   36.00   34.90   49.00   38.00   48.00   24.17    0.10    0.26   16.20    0.30    0.30  238.60   24.00  -24.00
AndromedaXIV         0.00   51.00   35.00   29.00   41.00   49.00   24.50    0.06    0.56   15.90    0.50    0.50  160.80    3.80   -4.20
AndromedaXII         0.00   47.00   27.00   34.00   22.00   29.00   24.84    0.09    0.34   18.30    1.20    1.20  107.70   20.00  -13.00
AndromedaXV          1.00   14.00   18.70   38.00    7.00    3.00   23.98    0.26    0.12   14.60    0.30    0.30   95.80   12.00   -4.80
AndromedaII          1.00   16.00   29.80   33.00   25.00    9.00   24.07    0.06    0.06   11.50    0.20    0.20  168.90   19.00  -16.00
NGC185               0.00   38.00   58.00   48.00   20.00   15.00   23.95    0.09    0.09    9.20    0.10    0.10  154.10   23.00  -21.00
AndromedaXXIX       23.00   58.00   55.60   30.00   45.00   20.00   24.32    0.22    0.22   16.00    0.40    0.40  189.10   12.00   -8.80
Triangulum           1.00   33.00   50.90   30.00   39.00   37.00   24.54    0.06    0.06    5.70    0.10    0.10  226.70   15.00  -11.00
AndromedaXXIV        1.00   18.00   30.00   46.00   21.00   58.00   23.89    0.12    0.12   16.30    0.50    0.50  194.50   25.00  -24.00
AndromedaVII        23.00   26.00   31.70   50.00   40.00   33.00   24.41    0.10    0.10   11.20    0.30    0.30  230.80    8.40   -6.50
IC10                 0.00   20.00   17.30   59.00   18.00   14.00   24.50    0.12    0.12    9.50    0.20    0.20   -1.00   -1.00   -1.00
AndromedaXXXI       22.00   58.00   16.30   41.00   17.00   28.00   24.40    0.12    0.12   12.70    0.70    0.70  261.40    6.90   -5.90
LGS3                 1.00    3.00   55.00   21.00   53.00    6.00   24.43    0.07    0.07   14.30    0.10    0.10   -1.00   -1.00   -1.00
AndromedaVI         23.00   51.00   46.30   24.00   34.00   57.00   24.47    0.07    0.07   13.00    0.20    0.20  281.60    8.60   -7.10
AndromedaXXII        1.00   27.00   40.00   28.00    5.00   25.00   24.82    0.07    0.36   18.00    0.80    0.80  216.80    5.70   -5.60
